Title,Genre,Language,Release Date,Country,Budget (M USD),Lifetime Gross (M USD),Number of Screens,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Marketing Budget (M USD),Hit or Flop
Role Modelsa,Animation,Tamil,43004,France,131.89,131.37,3630,5.8,77,276431,32.19,Collection not met
Gremlinsa,Romance,Telugu,45059,China,190.68,130.23,1059,5.5,95,436636,27.73,Collection not met
Absolute Powera,Adventure,German,40651,UK,144.95,130.12,4561,9,46,267616,18.14,Collection not met
The World Is Not Enougha,Horror,Chinese,41475,China,160.4,130.01,689,4.2,61,299569,77,Collection not met
Hardflipa,Action,Tamil,42679,Germany,252.23,129.49,1285,6.1,98,481195,107.43,Collection not met
Arachnophobiaa,Adventure,Korean,41329,China,135.16,129.03,1024,4.7,46,17240,60.59,Collection not met
Saving Private Ryana,Comedy,Hindi,44102,India,159.87,128.69,2586,6.3,35,426936,54.12,Collection not met
RoboCopa,Horror,Japanese,42054,Germany,62.64,128.59,1868,4.7,36,355966,11.38,Collection not met
Tristram Shandy: A Cock and Bull Storya,Comedy,Chinese,42898,China,7.76,128.47,790,6,96,369369,3.21,Collection not met
25th Houra,Thriller,Japanese,41228,France,184.71,128.46,1670,4.6,23,228561,83.23,Collection not met
Blue Ruina,Romance,Tamil,40183,USA,298.54,128.45,4622,8.2,51,47429,140.72,Collection not met
Blades of Glorya,Sci-Fi,Hindi,40904,China,91.77,128.25,3621,10,81,257186,34.37,Collection not met
Finding Forrestera,Adventure,Chinese,42517,Japan,51,127.83,3590,6.4,99,489490,23.53,Collection not met
Elektraa,Drama,German,40253,UK,162.64,127.83,1972,9.1,28,218007,53.44,Collection not met
Shanghai Surprisea,Romance,Tamil,40871,Japan,150.21,127.59,4861,4,51,116609,34.45,Collection not met
Jack the Giant Slayera,Sci-Fi,German,45111,UK,6.54,127.51,4281,7.3,90,192307,2.06,Collection not met
City Halla,Romance,Chinese,44114,China,169.25,126.91,3567,6.4,80,411327,75.35,Collection not met
The Watcha,Sci-Fi,Spanish,43175,South Korea,6.01,126.86,1287,4,44,425848,1.69,Collection not met
Monster-in-Lawa,Horror,German,42526,South Korea,217.94,126.18,2406,5,48,157010,68.22,Collection not met
Gremlins 2: The New Batcha,Romance,Chinese,44874,France,101.86,126.03,660,7.5,41,72532,35.95,Collection not met
Captain Phillipsa,Action,Korean,43098,China,169.83,126.03,1092,6,49,31623,32.94,Collection not met
The Scorch Trialsa,Animation,German,44636,France,229.25,125.8,1653,5.7,90,306488,47.75,Collection not met
"Happy, Texasa",Horror,Tamil,41013,South Korea,168.62,123.86,4315,4.1,39,334504,43.47,Collection not met
Anything Elsea,Sci-Fi,French,44526,France,165.47,123.78,1336,9.1,59,425438,75.71,Collection not met
Dream with the Fishesa,Romance,Korean,42015,China,289.17,123.54,731,8.5,95,292223,50.67,Collection not met
Pirates of the Caribbean: At World's End,Horror,Hindi,42051,China,75.03,123.27,540,4.2,72,171685,22.09,Collection not met
Warlocka,Comedy,Chinese,41455,Germany,252.64,123.04,932,8.7,31,238485,86.75,Collection not met
Simon Bircha,Adventure,Korean,45135,UK,214.26,122.61,1444,9.8,86,257098,72.89,Collection not met
The Taking of Pelham 1 2 3a,Thriller,English,44936,China,21.55,122.27,3453,5.8,52,147035,3.82,Collection not met
Beyond the Lightsa,Romance,Chinese,43524,UK,73.23,122.23,3730,5.3,65,67106,21.54,Collection not met
The Bourne Identitya,Thriller,French,44121,USA,265.16,122.03,2944,5.9,37,291066,72.9,Collection not met
Escape from New Yorka,Sci-Fi,English,44757,India,70.01,121.31,2105,6.7,24,494454,8.84,Collection not met
Tammya,Thriller,Telugu,43113,France,155.46,120.63,4721,8.3,80,341221,35.52,Collection not met
Just Marrieda,Comedy,Spanish,41742,China,227.12,120.5,2291,8.3,51,285415,102.97,Collection not met
Batman & Robina,Sci-Fi,Korean,44865,China,83.9,120.46,1281,7.8,59,93062,27.06,Collection not met
Rock Stara,Animation,German,45291,Japan,202.07,120.3,979,9.3,69,319924,66.9,Collection not met
Irisa,Action,Chinese,42827,South Korea,60.47,120.28,3043,8.2,25,38612,7.64,Collection not met
Keanua,Animation,French,40590,Japan,156,120.18,889,10,47,477653,37.24,Collection not met
Lawrence of Arabiaa,Sci-Fi,Spanish,44123,France,154.96,120.06,1520,6.8,85,467989,30.72,Collection not met
What Planet Are You From?a,Romance,Korean,43354,China,217.23,119.81,4840,4.8,83,485958,37.26,Collection not met
The Protectora,Sci-Fi,Chinese,40411,UK,4.95,119.78,3509,5.1,93,137705,0.73,Collection not met
Brothersa,Animation,French,45176,South Korea,109.57,119.52,940,5.7,84,82676,23.07,Collection not met
Get Harda,Comedy,French,41310,South Korea,201.55,119.44,3721,6.5,86,214127,21.57,Collection not met
You Got Serveda,Horror,Telugu,41608,Germany,198.17,119.39,2868,6.7,96,425223,91.55,Collection not met
The Family Stonea,Sci-Fi,English,43621,UK,215.86,119.15,3987,6.5,52,148401,71.51,Collection not met
The Haunting of Molly Hartleya,Adventure,Tamil,41131,Germany,266.5,118.99,3513,5.3,72,224048,98.07,Collection not met
The Guilt Tripa,Romance,Tamil,44590,USA,70.72,118.73,3259,8.1,67,76324,9.45,Collection not met
Tomorrowlanda,Comedy,Japanese,42439,Germany,35.24,118.39,4860,9,54,475678,8.01,Collection not met
Haywirea,Action,English,44631,Japan,210.71,117.93,2062,9,51,65458,36.34,Collection not met
D.E.B.S.a,Comedy,French,44853,France,88.08,117.31,3445,7.4,66,141112,24.41,Collection not met
Memoirs of a Geishaa,Comedy,Telugu,45185,South Korea,268.85,116.76,720,6.3,64,20750,92.77,Collection not met
Snitcha,Adventure,Spanish,42824,France,9.18,116.52,4289,5,40,193984,1.84,Collection not met
Donnie Darkoa,Sci-Fi,English,44028,South Korea,6.08,116.52,1127,8.3,77,90943,2.35,Collection not met
Lethal Weapon 4a,Comedy,German,44295,India,76.79,116.14,4409,8.4,32,294882,32.58,Collection not met
The Boxa,Sci-Fi,German,44222,France,29.49,116.06,3135,7.5,34,485446,13.62,Collection not met
The Villagea,Action,French,44815,UK,231.93,115.62,3228,5.1,28,335186,75.38,Collection not met
Madea's Witness Protectiona,Drama,German,43092,Japan,107.54,114.98,2459,9,47,386728,38.54,Collection not met
Eye of the Dolphina,Comedy,Japanese,41280,Japan,257.07,114.8,1816,5.4,31,442591,81.48,Collection not met
Inescapablea,Animation,Hindi,45426,China,127.92,114.74,2070,7,32,406407,63.13,Collection not met
28 Days Later...a,Sci-Fi,Tamil,44505,Germany,37.71,114.61,1989,6.1,89,480412,18.26,Collection not met
A Very Long Engagementa,Romance,Japanese,41263,India,221.61,114.02,4953,4.4,37,170145,79.73,Collection not met
My Stepmother Is an Aliena,Horror,Tamil,41408,France,268.8,113.04,4164,4.2,91,85781,29.57,Collection not met
Never Againa,Thriller,Chinese,42247,South Korea,101.05,112.96,1807,7.1,72,353977,23.17,Collection not met
Anniea,Sci-Fi,Japanese,42708,China,19.79,111.83,3472,6.1,88,404764,7.77,Collection not met
The Amityville Horrora,Horror,German,41951,France,236.12,111.34,2132,6.5,68,334736,80.1,Collection not met
Harry Potter and the Order of the Phoenixa,Horror,French,44122,China,111.67,110.69,2069,8.1,36,270798,16.16,Collection not met
The Amazing Spider-Mana,Action,Korean,41617,Germany,114.62,110.43,3142,4.5,54,134227,50.11,Collection not met
Quarteta,Horror,English,41710,South Korea,298.66,110.35,2326,8.5,55,148401,132.01,Collection not met
Snow Flower and the Secret Fana,Horror,Telugu,40862,India,233.7,110.2,758,9.2,71,317539,68.17,Collection not met
That Awkward Momenta,Action,German,43476,China,42.69,109.85,4399,6.3,21,374191,20.68,Collection not met
Universal Soldier: The Returna,Romance,French,42167,Japan,53.19,109.84,2860,5.4,76,400247,19.87,Collection not met
Doctor Dolittlea,Sci-Fi,Tamil,44069,Japan,112.14,109.72,2733,8.1,50,370552,34.43,Collection not met
The Ordera,Comedy,French,44346,China,119.8,109.54,3861,6,99,263234,42.57,Collection not met
Deuce Bigalow: Male Gigoloa,Sci-Fi,Chinese,40239,USA,19.67,109.54,2260,4.4,65,224850,5.87,Collection not met
Safe Housea,Sci-Fi,French,43800,France,275.78,109.42,2628,4.1,81,69157,58.48,Collection not met
Ice Age: Dawn of the Dinosaursa,Comedy,Telugu,44135,UK,62.29,109.04,2528,9.8,90,182366,10,Collection not met
Michael Collinsa,Thriller,Spanish,43867,France,37.28,108.13,4592,5.7,78,125530,17.98,Collection not met
Unfinished Businessa,Comedy,German,45413,India,137.89,107.68,3827,9.9,65,381507,59.11,Collection not met
V for Vendettaa,Action,Japanese,41406,India,49.4,107.56,1936,9.6,67,300673,23.83,Collection not met
Doubta,Adventure,Chinese,41772,China,181.74,106.91,603,8.2,94,353207,47.65,Collection not met
Deterrencea,Adventure,English,40318,UK,205.39,106.9,2927,5.8,90,494739,89.64,Collection not met
10th & Wolfa,Action,Hindi,45215,Japan,288.56,105.95,2929,6.3,88,58272,140.56,Collection not met
Ouijaa,Drama,English,43075,Japan,253.39,104.63,2939,6.3,85,105228,92.94,Collection not met
Welcome to Collinwooda,Adventure,Hindi,40908,India,261.44,104.58,1856,5.3,76,238961,97.65,Collection not met
Doug's 1st Moviea,Drama,Tamil,45301,USA,94.37,103.96,1716,6,24,186007,23.62,Collection not met
Gridiron Ganga,Thriller,Korean,41902,South Korea,258.77,103.89,716,7.1,26,162664,82.25,Collection not met
Fantasia 2000a,Horror,Spanish,42167,UK,92.06,103.81,3106,7.3,39,5168,36.47,Collection not met
Batman v Superman: Dawn of Justicea,Thriller,German,45205,Germany,209.81,103.73,4258,7.4,85,309103,87.34,Collection not met
Jack Reachera,Thriller,Japanese,43838,South Korea,174.43,102.39,2151,6,53,393261,21.7,Collection not met
The Hunger Gamesa,Romance,Chinese,40322,Japan,92.07,102.33,2038,8.1,45,340969,13.23,Collection not met
Murder by Numbersa,Drama,Tamil,43064,Japan,35.52,102.15,4675,6.5,50,330231,6.9,Collection not met
Meet the Spartansa,Drama,Japanese,43566,UK,15.08,101.97,2223,9,89,300471,2.38,Collection not met
22 Jump Streeta,Sci-Fi,Chinese,44951,Japan,192.21,101.33,1622,5.4,34,246888,83.41,Collection not met
Abductiona,Comedy,French,45517,China,194.47,100.73,4472,9.3,36,133447,42.04,Collection not met
Life or Something Like Ita,Drama,Chinese,44228,Germany,108.17,100.7,1597,4.3,83,329423,34.48,Collection not met
Alexandera,Sci-Fi,Japanese,40701,India,187.83,100.37,2555,9.7,32,21592,88.2,Collection not met
Elite Squada,Thriller,French,44882,South Korea,32.97,100.05,1731,5,35,416010,7.06,Collection not met
Fascinationa,Sci-Fi,German,45358,France,266.59,99.98,2153,5.4,24,422275,76.85,Collection not met
102 Dalmatiansa,Sci-Fi,French,42357,South Korea,85.81,99.85,4141,4.4,59,355266,26.18,Collection not met
Fast Fivea,Sci-Fi,Telugu,43902,UK,77.38,99.64,659,5.7,30,132375,17.16,Collection not met
The Usual Suspectsa,Comedy,English,41481,France,72.95,99.38,2212,6.1,40,132205,14.29,Collection not met
Mission: Impossible IIIa,Comedy,Chinese,43166,France,298.35,99.27,3701,9.6,32,22701,124.25,Collection not met
Dumaa,Adventure,Japanese,44415,Japan,186.23,98.87,1041,7.4,25,235220,83.13,Collection not met
Death Becomes Hera,Adventure,Tamil,43685,India,222.15,98.24,878,6.2,60,274180,28.46,Collection not met
The Princess Diaries 2: Royal Engagementa,Adventure,French,43308,USA,21.69,97.52,3139,8.3,61,18082,5.6,Collection not met
Vanilla Skya,Drama,German,40914,Germany,20.8,97.29,999,9.9,27,302002,6.38,Collection not met
Mr. Bean's Holidaya,Romance,Telugu,41653,China,84.35,97.27,3991,6.3,81,398372,28.9,Collection not met
Toy Story 2a,Drama,English,42480,China,248.83,96.84,4833,7.6,78,472134,114.45,Collection not met
Free Birdsa,Animation,Chinese,44330,USA,110.56,96.82,1297,9.7,41,127620,20.37,Collection not met
We Are Your Friendsa,Comedy,Tamil,41853,France,159.42,96.35,2182,9.6,77,170191,64.11,Collection not met
The Adventures of Sharkboy and Lavagirl 3-Da,Thriller,Chinese,40704,UK,265.38,96.25,4774,6.4,46,144621,52.25,Collection not met
Disturbiaa,Action,German,45071,Japan,105.05,96.13,3382,8.7,33,305620,52.33,Collection not met
Saw IIIa,Sci-Fi,Japanese,41081,South Korea,4.28,95.8,2993,9,34,42891,0.55,Collection not met
John Qa,Animation,Telugu,44070,South Korea,109.48,95.79,3886,5.8,97,311236,42.67,Collection not met
Jerry Maguirea,Thriller,English,44983,China,20.33,95.57,4335,7.4,63,54007,9.29,Collection not met
Kindergarten Copa,Sci-Fi,Hindi,45176,USA,125.85,95.32,4351,5.8,80,498696,39.77,Collection not met
Indiana Jones and the Kingdom of the Crystal Skulla,Horror,German,40682,Germany,151.65,95.2,1672,8.7,75,104339,31.89,Collection not met
Tomcatsa,Action,French,45643,India,87.84,95.13,1378,9.6,41,40143,11.54,Collection not met
Taken 2a,Action,Japanese,41134,China,299.18,95.06,4917,4.7,81,371014,37.54,Collection not met
White House Downa,Romance,Korean,44113,USA,192.88,94.68,4495,6.7,69,406837,41.17,Collection not met
Slackersa,Romance,Tamil,43717,China,113.48,93.94,4206,4.5,61,207531,34.26,Collection not met
The Twilight Saga: Eclipsea,Adventure,Japanese,43959,Germany,278.86,93.91,1281,7.4,89,297697,116.45,Collection not met
Saw 3D: The Final Chaptera,Action,Hindi,43792,Germany,40.82,93.48,2530,5.7,28,107542,8.66,Collection not met
Practical Magica,Romance,Tamil,45015,South Korea,41.87,93.43,4925,5,59,419832,14.39,Collection not met
Breakdowna,Drama,Tamil,45346,USA,91.32,92.92,1088,9.3,36,370628,45.1,Collection not met
As Good as It Getsa,Horror,French,45215,India,225.19,92.35,1601,4.3,29,459321,104.86,Collection not met
Pompeiia,Adventure,Tamil,41879,France,295.86,92.32,1068,8.1,99,238086,91.03,Collection not met
My Life Without Mea,Drama,Tamil,42306,UK,212.19,92.12,4475,7.2,96,187722,22,Collection not met
Casino Royalea,Action,Korean,43279,India,210.07,91.38,838,4.1,26,257514,94.74,Collection not met
Elizabethtowna,Animation,Korean,41134,Germany,152.38,90.75,4868,6,65,487077,42.89,Collection not met
American Desia,Thriller,Chinese,44536,South Korea,38.85,90.66,2930,4.5,22,134845,5.53,Collection not met
Crazy in Alabamaa,Adventure,Telugu,45326,UK,208.25,90.38,1977,8.8,79,243428,97.29,Collection not met
The Adventures of Rocky & Bullwinklea,Comedy,Japanese,41220,Japan,61.58,89.99,518,9.3,59,126439,15.76,Collection not met
Jab Tak Hai Jaana,Thriller,Japanese,43990,India,43.94,89.98,4926,8.1,35,436853,19.79,Collection not met
Jonah Hexa,Action,Hindi,44944,UK,234.4,89.45,1788,6.1,99,369877,116.74,Collection not met
I Love You Phillip Morrisa,Romance,French,43610,India,91.92,89.36,3355,8.4,89,93882,37.57,Collection not met
Earth to Echoa,Horror,Telugu,42969,France,271.74,88.98,4898,8.1,70,52121,99.96,Collection not met
Brokedown Palacea,Drama,French,44848,Germany,18.4,88.89,3992,9.1,22,260639,3.06,Collection not met
Double Takea,Comedy,German,44499,China,263.5,88.69,3718,7.6,77,109290,112.84,Collection not met
21 Jump Streeta,Romance,Hindi,43379,France,222.39,88.25,4095,6.4,34,278405,25.3,Collection not met
Stuck on Youa,Drama,Japanese,43498,France,97.03,88.24,4364,4.1,87,420281,33.72,Collection not met
Star Treka,Horror,Japanese,41942,India,30.67,88.23,1754,8.8,67,370767,15.12,Collection not met
We're No Angelsa,Action,French,40906,UK,233.31,88.16,4183,6.1,61,196682,109.37,Collection not met
Ender's Gamea,Comedy,Telugu,43768,South Korea,271.28,88.15,4877,4.6,83,183278,90.91,Collection not met
Thinnera,Action,Korean,45257,France,204.31,87.78,2221,8.7,80,287664,31.68,Collection not met
She's the Mana,Sci-Fi,English,43393,USA,47.45,87.7,2244,6.9,98,22545,14.24,Collection not met
Alice Through the Looking Glassa,Sci-Fi,Japanese,45582,India,88.78,87.63,1596,9,21,171228,10.45,Collection not met
White Chicksa,Adventure,Chinese,40547,UK,280.13,87.25,3199,9.2,37,303596,54.45,Collection not met
Nightcrawlera,Drama,German,44104,China,21.89,86.59,2134,8.1,89,61445,3.48,Collection not met
The Man with the Iron Fistsa,Thriller,English,44044,China,161.57,86.5,3352,7.4,93,254959,68.94,Collection not met
Better Luck Tomorrowa,Sci-Fi,Telugu,41291,Japan,26.52,86.31,3626,7.8,98,257541,3.03,Collection not met
Contrabanda,Romance,Hindi,44999,France,110.5,85.81,3663,9.3,65,85532,23.94,Collection not met
Love the Coopersa,Action,English,42466,UK,170.81,85.57,2614,4.8,67,246440,41.2,Collection not met
Home for the Holidaysa,Comedy,Hindi,42449,China,189.37,85.36,4996,9.3,47,232499,62.13,Collection not met
Casino Royalea,Sci-Fi,German,42751,India,268.83,84.99,4649,9.9,57,434424,89.46,Collection not met
The Givera,Drama,English,41617,UK,152.91,84.45,786,5.8,21,61123,68.09,Collection not met
Like Mikea,Sci-Fi,Tamil,41490,South Korea,175.44,84.31,1812,7.1,44,267017,74.6,Collection not met
Opal Dreama,Animation,French,40899,USA,187.07,84.15,907,7.5,24,235329,78.11,Collection not met
Of Horses and Mena,Thriller,Spanish,44373,South Korea,284.12,83.86,4369,5.7,33,434150,50.48,Collection not met
The Mastera,Romance,Telugu,45298,Japan,175.49,83.77,1086,6.9,50,415820,36,Collection not met
A Walk on the Moona,Adventure,Chinese,44686,India,129.74,83.67,4782,6.1,24,100338,58.97,Collection not met
Elizabeth: The Golden Agea,Horror,Chinese,43163,China,160.49,83.36,4265,5.5,88,193563,43.98,Collection not met
The Right Stuffa,Thriller,English,45349,China,146.8,83.22,4733,8.6,97,439668,21.09,Collection not met
Lincolna,Romance,Spanish,40393,China,232.9,83.07,2526,5.5,77,75250,92.63,Collection not met
The Imaginarium of Doctor Parnassusa,Drama,German,43220,Germany,70.92,83.04,4898,10,45,384602,16.63,Collection not met
Seven Psychopathsa,Animation,Telugu,44451,USA,167.78,82.76,3175,7.1,90,283777,28.67,Collection not met
Ted 2a,Drama,Chinese,40419,USA,175.01,82.64,3015,4.3,90,174946,57.21,Collection not met
Paparazzia,Comedy,Korean,41282,India,107.93,82.21,2881,9.5,55,459348,27.24,Collection not met
Mumforda,Adventure,Spanish,41247,Japan,48.35,81.63,3882,8.2,43,240005,11.11,Collection not met
The Golden Compassa,Comedy,Tamil,41411,South Korea,95.29,81.37,2379,9.2,32,151444,25.4,Collection not met
Dumb and Dumberer: When Harry Met Lloyda,Animation,Telugu,42680,China,137.57,80.94,1768,5.3,55,387865,26.13,Collection not met
Speeda,Animation,German,40887,China,199.31,80.55,2742,4.2,63,207388,85.91,Collection not met
The Princess and the Cobblera,Animation,German,41605,Germany,149.87,80.3,507,9.6,82,73247,55.85,Collection not met
Over the Hill to the Poorhousea,Sci-Fi,Spanish,40340,UK,135.45,80.12,1879,7.2,24,458135,23.87,Collection not met
Man on Firea,Horror,French,45112,Japan,98.89,79.83,4277,7.3,54,358692,35.44,Collection not met
Interview with the Vampire: The Vampire Chroniclesa,Drama,French,45300,USA,195.9,79.63,3298,4.8,36,311640,83.95,Collection not met
Primary Colorsa,Comedy,German,45283,USA,40.33,79.35,2742,7.4,86,290023,11.04,Collection not met
Man on the Moona,Sci-Fi,Hindi,42130,Japan,112.6,79.19,1136,7.3,74,120192,29.55,Collection not met
Torquea,Action,English,42087,India,76.78,79.08,1616,5.2,40,374521,35.07,Collection not met
Terminator Genisysa,Romance,English,43683,India,292.82,78.65,519,8.4,29,187554,65.26,Collection not met
Romeo Must Diea,Animation,Spanish,44933,India,262.35,78.53,2754,9.7,68,250772,43.88,Collection not met
Stomp the Yarda,Comedy,English,45582,India,127.89,78.15,2434,4.1,76,282547,21.9,Collection not met
The Ides of Marcha,Animation,Hindi,43969,Japan,90.13,78.14,2564,4.1,89,21974,35.31,Collection not met
The English Patienta,Comedy,Korean,43606,South Korea,64.22,78,2297,4.5,61,221564,19.61,Collection not met
Secondhand Lionsa,Horror,English,45349,USA,84.96,77.86,3107,7,37,269587,19.64,Collection not met
The Barbariansa,Adventure,French,40908,Japan,48.14,77.82,4057,4.3,45,194964,18.06,Collection not met
Son of Goda,Action,Chinese,41695,Germany,293.31,77.81,3272,4.5,87,222333,32.57,Collection not met
The Tree of Lifea,Drama,Korean,44137,USA,98.77,77.64,2053,6.2,54,414426,34.78,Collection not met
2012a,Sci-Fi,Tamil,41862,India,108.39,77.45,4796,7.1,56,46065,15.58,Collection not met
Resident Evil: Apocalypsea,Adventure,German,43704,UK,242.61,76.93,936,8.7,71,27967,48.12,Collection not met
Little Boya,Animation,English,41823,France,235.35,76.51,4070,5.6,41,263823,45.76,Collection not met
Failure to Launcha,Thriller,Tamil,44702,USA,209.26,76.48,1224,9.1,75,50457,27.39,Collection not met
Get Smarta,Comedy,French,40385,USA,285.84,76.27,2961,5.1,43,169614,55.31,Collection not met
Step Upa,Animation,French,42501,Japan,45.97,76.26,1793,7.7,40,217004,5.79,Collection not met
Triple 9a,Drama,Telugu,42081,India,139,76.22,1508,6.1,36,164604,56.91,Collection not met
Maid in Manhattana,Romance,Spanish,43347,Germany,62.89,75.83,1273,5.6,41,89974,16.79,Collection not met
A Dangerous Methoda,Action,English,41805,Germany,279.34,75.36,1545,7.2,88,197424,51.84,Collection not met
Gladiatora,Drama,Chinese,45042,China,55.67,75.36,2402,8.2,30,264476,9.12,Collection not met
Indiana Jones and the Last Crusadea,Drama,English,44011,France,67.62,75.31,2829,5,99,25767,9.91,Collection not met
Raya,Drama,Hindi,45092,USA,127.07,75.3,3919,7.3,62,9245,51.36,Collection not met
Mamma Mia!a,Comedy,Chinese,44287,South Korea,105.36,75.29,4176,9.8,32,97113,47.29,Collection not met
Something Borroweda,Adventure,French,44353,USA,17.4,75.23,2579,8.9,62,178648,7.25,Collection not met
Dominoa,Adventure,Tamil,45387,UK,8.21,75.17,3664,6.5,40,187522,1.08,Collection not met
L!fe Happensa,Drama,Tamil,41772,UK,6.58,75.16,2262,5,28,25766,0.87,Collection not met
We Are Marshalla,Sci-Fi,German,42662,USA,55.05,75.04,4539,5.9,28,156952,6.66,Collection not met
Die Hard 2a,Sci-Fi,Korean,40447,France,241.68,74.64,2247,5,78,373908,112.57,Collection not met
Pink Flamingosa,Horror,Tamil,41397,China,203.73,74.46,2296,9.6,45,36444,72.33,Collection not met
Bachelorettea,Drama,Telugu,42200,Japan,273.27,74.28,3149,4.4,76,143229,27.9,Collection not met
Poseidona,Horror,Hindi,43294,Germany,194.71,73.99,4534,5.3,79,285053,79.48,Collection not met
The Foresta,Thriller,German,40755,India,238.79,73.93,4862,6.2,98,179653,34.38,Collection not met
The Departeda,Sci-Fi,Spanish,43452,Japan,11.87,73.63,4160,6.7,50,328958,5.5,Collection not met
The Chronicles of Narnia: Prince Caspiana,Action,German,44569,Japan,273.68,73.14,667,5.7,23,289240,131.63,Collection not met
Coach Cartera,Horror,Korean,42380,South Korea,162.98,73.02,806,8.4,44,177731,20.45,Collection not met
Flight of the Phoenixa,Action,English,42118,France,131.04,72.91,2092,5.9,33,103863,43.19,Collection not met
Peggy Sue Got Marrieda,Adventure,French,40748,Germany,159.57,72.9,3141,7.1,98,6266,71.45,Collection not met
Mother and Childa,Sci-Fi,Hindi,41967,South Korea,277.02,72.34,1250,9.1,63,162059,72.67,Collection not met
Final Destinationa,Romance,Tamil,43128,USA,169.46,71.51,1033,8.6,86,280710,27.92,Collection not met
Juwanna Manna,Romance,Tamil,45536,France,293.82,70.76,3091,8.9,43,206400,122.02,Collection not met
Guardians of the Galaxya,Adventure,English,45079,Japan,224.7,70.51,3681,6.6,75,105878,52.27,Collection not met
Neighbors 2: Sorority Risinga,Action,French,41622,UK,51.46,70.46,957,5.5,48,233849,8.05,Collection not met
American Ninja 2: The Confrontationa,Sci-Fi,Japanese,45158,UK,220.1,70.27,4876,5.5,59,306022,79.76,Collection not met
Hall Passa,Horror,English,42476,Japan,169.64,70.21,3827,7.1,25,351807,70.24,Collection not met
The Truman Showa,Thriller,Hindi,41197,South Korea,34.31,69.22,3301,7.5,52,42412,8.32,Collection not met
War of the Worldsa,Romance,Japanese,43942,Japan,24.54,69.16,3506,9.6,36,23192,3.29,Collection not met
Multiplicitya,Romance,German,45070,India,136.08,68.97,2459,5.1,67,90382,64.67,Collection not met
The Chronicles of Narnia: The Voyage of the Dawn Treadera,Comedy,Telugu,44486,India,116.06,68.42,4872,4.4,51,411801,52.39,Collection not met
Star Wars: Episode VI - Return of the Jedia,Horror,Telugu,44152,Japan,261.49,68.12,4797,4.2,74,448168,81.7,Collection not met
Pet Sematarya,Comedy,English,43951,France,151.56,67.96,896,8.3,63,372813,21.08,Collection not met
The Outsidersa,Thriller,Japanese,43381,China,216.32,67.57,4517,4.9,47,236709,32.25,Collection not met
Shrek the Thirda,Drama,Tamil,40353,France,142.71,67.23,4331,8.5,71,473075,51.6,Collection not met
The Princess Bridea,Animation,German,44097,UK,33.8,66.95,1237,7.4,43,437807,13.71,Collection not met
Soldiera,Drama,Hindi,42511,India,124.72,66.89,3839,9.8,41,276992,43.52,Collection not met
The Slaughter Rulea,Comedy,Chinese,41134,India,226.56,66.65,2090,6.9,72,308662,43.82,Collection not met
Delgoa,Action,Tamil,41198,South Korea,33.01,66.55,3916,8.3,77,48810,12.95,Collection not met
Labor Daya,Action,Korean,43505,UK,124.6,66.41,886,6.5,28,101131,51.74,Collection not met
Teenage Mutant Ninja Turtlesa,Thriller,Telugu,41031,China,140.23,66.32,1502,4.9,51,467135,18.26,Collection not met
Enemy of the Statea,Romance,English,42005,UK,205.04,66.18,4104,5.2,20,190134,24.47,Collection not met
Alice in Wonderlanda,Thriller,Tamil,42033,Japan,47.68,65.07,2537,7,31,287640,23.62,Collection not met
PCUa,Action,German,41928,South Korea,61.31,64.91,4987,5.7,74,226780,9.02,Collection not met
Harry Potter and the Half-Blood Princea,Horror,German,42787,South Korea,66.27,64.81,1654,9.5,88,444085,9.03,Collection not met
Neal 'N' Nikkia,Animation,Tamil,44262,Germany,255.3,64.78,1740,8.7,84,492333,113.23,Collection not met
Cadillac Recordsa,Thriller,Chinese,40358,Germany,13.67,64.09,4966,6.8,88,261701,5.88,Collection not met
The Time Machinea,Adventure,French,41166,South Korea,294.29,63.34,1000,9.6,34,106944,77.03,Collection not met
Lights Outa,Animation,English,40445,Germany,142.43,63.1,2535,8.4,43,160446,47.69,Collection not met
Max Keeble's Big Movea,Action,Japanese,41377,France,63.94,63.02,2666,7.9,69,40892,6.59,Collection not met
Conversations with Other Womena,Romance,Tamil,40833,UK,274.52,62.97,3339,6,23,438809,100.37,Collection not met
Sky Higha,Drama,Tamil,43624,South Korea,205.67,62.77,3524,9,37,104957,69.98,Collection not met
The Pledgea,Sci-Fi,Tamil,41380,South Korea,192.49,62.58,2969,6.7,33,219730,77.18,Collection not met
Firestartera,Romance,Korean,42936,China,29.97,62.31,1702,9.7,91,273752,6.34,Collection not met
Jason Goes to Hell: The Final Fridaya,Action,Hindi,44224,Germany,12.68,62.13,3138,5.7,48,283700,1.33,Collection not met
Step Up Revolutiona,Horror,Telugu,45053,Germany,181.32,62.1,740,4.4,38,319452,74.65,Collection not met
The Wiza,Sci-Fi,Japanese,45100,UK,28.66,61.64,1526,7.8,41,186249,2.98,Collection not met
Lara Croft: Tomb Raidera,Sci-Fi,Spanish,41014,France,236.1,61.56,1176,5,88,401993,26.13,Collection not met
Dante's Peaka,Comedy,Korean,40406,South Korea,266.05,61.42,1888,9.5,41,379562,51.04,Collection not met
Snakes on a Planea,Drama,French,42719,India,53.76,61.24,4268,5.6,82,60776,16.63,Collection not met
The Visual Bible: The Gospel of Johna,Animation,English,43262,South Korea,78.24,61.19,1784,7.4,81,118868,25.43,Collection not met
